NU_INSCRICAO;TP_COR_RACA;TP_ESCOLA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q002;Q006;media_geral
210061296764;0;2;GO;548.5;627.9;555.5;671.6;700.0;F;J;620.7
210060441022;1;1;PA;515.5;564.0;585.5;620.2;700.0;C;B;597.04
210059511715;3;1;MT;601.8;622.4;617.5;614.1;800.0;B;C;651.1600000000001
210059375970;1;1;BA;565.6;638.4;502.6;691.0;880.0;C;E;655.52
210058941020;1;1;PR;620.0;589.1;616.2;685.5;900.0;E;G;682.1600000000001
210059910671;1;1;SP;500.6;531.9;555.2;475.6;600.0;E;C;532.6600000000001
210060214116;3;2;CE;421.0;420.2;425.9;359.3;240.0;C;B;373.28
210059995192;3;2;BA;503.8;352.2;424.3;461.8;440.0;E;B;436.4200000000001
210060801618;5;3;SP;487.8;535.4;519.4;591.0;740.0;G;H;574.72
210058073327;1;1;PB;716.1;692.1;661.0;845.7;940.0;B;B;770.98
210058969703;3;1;CE;681.3;691.9;652.4;778.1;880.0;E;B;736.74
210060687798;3;1;CE;445.1;600.4;544.7;651.0;540.0;B;C;556.24
210059587846;3;2;SP;680.2;670.1;684.4;706.5;980.0;F;E;744.24
210059037150;4;2;MG;504.1;575.8;534.6;691.2;860.0;G;J;633.14
210061254683;3;1;MG;546.0;572.2;532.4;539.2;480.0;B;H;533.96
210061275744;1;1;RN;537.2;589.9;594.5;479.0;580.0;G;F;556.12
210059404100;3;2;CE;445.8;556.2;604.4;366.3;940.0;C;B;582.54
210060051874;3;1;PI;387.9;490.9;505.4;352.4;500.0;E;A;447.32
210060376438;1;1;SP;550.3;366.6;521.9;632.5;860.0;E;G;586.26
210059065230;1;1;MS;484.7;550.8;541.1;474.1;360.0;C;C;482.14
210060051858;1;1;MA;541.8;590.2;602.5;514.0;740.0;G;Q;597.7
